step,dice,dice/_macro,dice/_micro,loss,loss/mean,loss/std,lr,momentum
1,0.05476401001214981,0.05476401001214981,0.5566772222518921,1.875645137197885,1.875645137197885,2.0128353061966022,0.008,0.9
2,0.07171808183193207,0.07171808183193207,0.6093289256095886,1.235569115122691,1.235569115122691,0.43046274851787536,0.008,0.9
3,0.07178805768489838,0.07178805768489838,0.5947064161300659,1.1720501323503019,1.1720501323503019,0.42052551614517075,0.008,0.9
4,0.08517206460237503,0.08517206460237503,0.6743649244308472,1.080632541763167,1.080632541763167,0.2727404326921984,0.008,0.9
5,0.09333652257919312,0.09333652257919312,0.6877431273460388,1.0288768123486305,1.0288768123486305,0.3322750052592648,0.008,0.9
6,0.09888870269060135,0.09888870269060135,0.7029184699058533,0.9920842415060187,0.9920842415060187,0.36969166254077107,0.008,0.9
7,0.09712789207696915,0.09712789207696915,0.6855238080024719,1.022684645698358,1.022684645698358,0.3434568645175607,0.008,0.9
8,0.10694719851016998,0.10694719851016998,0.7080765962600708,0.9777643345510072,0.9777643345510072,0.5362615263879632,0.008,0.9
9,0.06998980790376663,0.06998980790376663,0.4940134882926941,1.0301875671510712,1.0301875671510712,0.3514091161356235,0.008,0.9
10,0.0904981791973114,0.0904981791973114,0.6074634194374084,0.9367112230160498,0.9367112230160498,0.31619423304480526,0.008,0.9
11,0.09838325530290604,0.09838325530290604,0.6277759075164795,0.8700377218581976,0.8700377218581976,0.32283045651487263,0.008,0.9
12,0.10957096517086029,0.10957096517086029,0.6593209505081177,0.7841632635142108,0.7841632635142108,0.2879899869441666,0.008,0.9
13,0.11658255010843277,0.11658255010843277,0.686832845211029,0.79989893782891,0.79989893782891,0.3077520277167658,0.008,0.9
14,0.12797389924526215,0.12797389924526215,0.7175946235656738,0.6960278807589019,0.6960278807589019,0.32520617826597503,0.008,0.9
15,0.13623817265033722,0.13623817265033722,0.7271580696105957,0.703283888773982,0.703283888773982,0.2848139194958018,0.008,0.9
16,0.12876027822494507,0.12876027822494507,0.7182467579841614,0.7337817174754682,0.7337817174754682,0.3260513865983865,0.008,0.9
